C,sigma,before_acc,after_acc,avg_acc,1.05 power
500,4.321942375150668,94.67,97.33,96.00,30
500,5.5160153675922565,93.33,98.67,96.00,35
500,7.039988712124658,94.67,98.67,96.67,40
500,8.985007793492823,94.67,98.67,96.67,45
500,11.4673997857537,94.67,98.67,96.67,50
500,14.6356309163739,94.67,98.67,96.67,55
500,18.679185894122995,94.67,97.33,96.00,60
500,23.83990055917926,94.67,97.33,96.00,65
500,30.426425535513935,94.67,97.33,96.00,70
500,38.83268592375563,94.67,97.33,96.00,75
500,49.561441066842605,94.67,97.33,96.00,80
500,63.25435344454156,94.67,94.67,94.67,85
500,80.73036504912677,93.33,96.00,94.67,90
500,103.03467644609493,92.00,94.67,93.33,95
500,131.50125784630401,93.33,93.33,93.33,100
1000,0.007604489997873477,69.33,34.67,52.00,-100
1000,0.009705470376501586,81.33,34.67,58.00,-95
1000,0.012386912896918909,62.67,36.00,49.33,-90
1000,0.015809188546631072,66.67,36.00,51.33,-85
1000,0.02017697586015141,66.67,36.00,51.33,-80
1000,0.02575150227731883,66.67,36.00,51.33,-75
1000,0.03286616756321879,46.67,36.00,41.33,-70
1000,0.0419464836909717,60.00,40.00,50.00,-65
1000,0.053535523746494146,60.00,52.00,56.00,-60
1000,0.06832640189643142,68.00,58.67,63.33,-55
1000,0.08720372697238048,72.00,60.00,66.00,-50
1000,0.11129650891613317,80.00,69.33,74.67,-45
1000,0.14204568230027764,89.33,81.33,85.33,-40
1000,0.181290285352577,90.67,89.33,90.00,-35
1000,0.23137744865585788,93.33,92.00,92.67,-30
1000,0.29530277169776187,94.67,96.00,95.33,-25
1000,0.3768894828730004,94.67,97.33,96.00,-20
1000,0.48101709809097004,96.00,97.33,96.67,-15
1000,0.6139132535407591,94.67,96.00,95.33,-10
1000,0.7835261664684589,94.67,96.00,95.33,-5
1000,1.0,97.33,96.00,96.67,0
1000,1.2762815625000004,97.33,96.00,96.67,5
1000,1.628894626777442,97.33,96.00,96.67,10
1000,2.0789281794113688,97.33,96.00,96.67,15
1000,2.653297705144422,97.33,97.33,97.33,20
1000,3.3863549408993885,97.33,97.33,97.33,25
1000,4.321942375150668,97.33,96.00,96.67,30
1000,5.5160153675922565,96.00,97.33,96.67,35
1000,7.039988712124658,94.67,98.67,96.67,40
1000,8.985007793492823,94.67,98.67,96.67,45
1000,11.4673997857537,94.67,98.67,96.67,50
1000,14.6356309163739,94.67,98.67,96.67,55
1000,18.679185894122995,94.67,98.67,96.67,60
1000,23.83990055917926,94.67,98.67,96.67,65
1000,30.426425535513935,94.67,97.33,96.00,70
1000,38.83268592375563,94.67,97.33,96.00,75
1000,49.561441066842605,94.67,96.00,95.33,80
1000,63.25435344454156,94.67,97.33,96.00,85
1000,80.73036504912677,94.67,96.00,95.33,90
1000,103.03467644609493,94.67,96.00,95.33,95
1000,131.50125784630401,92.00,94.67,93.33,100
